student_id,name,college,course_id,course_name,credit,semester,enroll_date,score,is_elective
202305050301,贾小红,数学学院,MA212026,数学建模,2.5,2023-02,2023-10-06,80,1
202308051011,温金涛,外语学院,ME113024,机器人技术,2.5,2026-02,2026-10-05,68,1
202003040527,汪玉伟,机械学院,GE000011,体育,1.0,2026-01,2026-01-13,58,0
202306010507,郭志松,物理学院,GE000011,体育,1.0,2026-01,2026-02-19,80,0
202003010413,郑娜,机械学院,EE102025,电路分析,3.0,2021-02,2021-06-21,98,0
202204010617,樊江波,土木学院,GE000011,体育,1.0,2024-01,2024-01-04,53,0
202406050410,吕海涛,物理学院,GE001012,思想政治理论,2.0,2024-01,2024-02-14,54,0
202301020129,宋河龙,计算机学院,MA212026,数学建模,2.5,2024-02,2024-10-11,49,1
202501020420,沈山涛,计算机学院,EM312023,电子商务,2.0,2025-02,2025-10-04,61,1
202606030903,谢红梅,物理学院,EM301014,微观经济学,2.5,2026-01,2026-02-11,84,0
202205010827,韦玉兰,数学学院,ME113024,机器人技术,2.5,2022-02,2022-10-04,83,1
202002030320,吕燕,电信学院,CS102026,数据结构与算法,3.5,2021-02,2021-08-04,48,0
202402010511,吕娟,电信学院,ME102025,工程力学,3.0,2025-02,2025-07-12,69,0
202005050806,熊静,数学学院,FL301015,综合英语,3.0,2020-01,2019-12-17,63,0
202307010122,汪春波,经管学院,GE011022,创新创业基础,1.5,2023-02,2023-10-02,-1,1
202503030811,赖德波,机械学院,EM312023,电子商务,2.0,2026-02,2026-10-05,73,1
202604040621,陆明,土木学院,GE011024,艺术鉴赏,1.5,2026-02,2026-10-06,50,1
202104050410,姜桂兰,土木学院,EE102025,电路分析,3.0,2022-02,2022-06-20,70,0
202308030112,庞艳,外语学院,ME102025,工程力学,3.0,2024-02,2024-08-06,59,0
202007020528,翟小强,经管学院,CS113025,Web开发技术,2.5,2023-02,2023-10-04,89,1
202304030810,魏志松,土木学院,MA201025,线性代数,3.0,2023-02,2023-07-17,76,0
202202010513,江德军,电信学院,GE011024,艺术鉴赏,1.5,2023-02,2023-10-04,59,1
202207020703,韩明,经管学院,EE113024,物联网技术,2.5,2024-02,2024-10-12,83,1
202401011026,孟晓梅,计算机学院,EE113024,物联网技术,2.5,2025-02,2025-10-11,61,1
202601010226,周辉,计算机学院,GE011013,大学生职业规划,1.0,2026-01,2026-03-01,62,1
202007010111,邱勇,经管学院,EE102025,电路分析,3.0,2021-02,2021-08-08,42,0
202302020529,汪永军,电信学院,GE011024,艺术鉴赏,1.5,2024-02,2024-10-11,100,1
202305030405,朱学兰,数学学院,EE113024,物联网技术,2.5,2024-02,2024-10-13,83,1
202004030725,江冬凤,土木学院,GE011022,创新创业基础,1.5,2024-02,2024-10-02,91,1
202103030821,曾玉龙,机械学院,EM312023,电子商务,2.0,2021-02,2021-10-05,-1,1
202104041030,石杰,土木学院,ME102025,工程力学,3.0,2022-02,2022-06-04,75,0
202406041008,林超,物理学院,EM312023,电子商务,2.0,2025-02,2025-10-04,100,1
202408040613,吴江兰,外语学院,GE011024,艺术鉴赏,1.5,2026-02,2026-10-11,48,1
202506050630,许文伟,物理学院,EE102025,电路分析,3.0,2026-02,2026-07-05,-1,0
202603050125,蔡晓波,机械学院,FL301015,综合英语,3.0,2026-01,2026-01-19,69,0
202403030828,易华,机械学院,CS113025,Web开发技术,2.5,2025-02,2025-10-03,86,1
202101030921,苏磊,计算机学院,ME113024,机器人技术,2.5,2021-02,2021-10-02,63,1
202508030226,谭冬辉,外语学院,GE000011,体育,1.0,2025-01,2024-12-11,75,0
202202050807,江天华,电信学院,EE102025,电路分析,3.0,2023-02,2023-06-21,61,0
202205051008,刘文涛,数学学院,MA212026,数学建模,2.5,2026-02,2026-10-13,42,1
202408010317,邹辉,外语学院,CS102026,数据结构与算法,3.5,2025-02,2025-08-04,64,0
202304040911,赖河华,土木学院,EM312023,电子商务,2.0,2023-02,2023-10-11,68,1
202402020824,黄建伟,电信学院,EE113024,物联网技术,2.5,2025-02,2025-10-02,47,1
202007030316,黎海伟,经管学院,EE113024,物联网技术,2.5,2020-02,2020-10-12,45,1
202604040919,吕志军,土木学院,CS114014,人工智能导论,2.0,2026-01,2026-03-01,59,1
202406040306,殷秋伟,物理学院,CS102026,数据结构与算法,3.5,2025-02,2025-08-20,88,0
202206040117,宋江松,物理学院,ME102025,工程力学,3.0,2023-02,2023-06-02,80,0
202405020826,于秋松,数学学院,FL301015,综合英语,3.0,2024-01,2024-02-20,54,0
202207050317,叶涛,经管学院,MA201025,线性代数,3.0,2022-02,2022-07-09,74,0
202004020607,邹秀英,土木学院,MA212026,数学建模,2.5,2026-02,2026-10-11,75,1
202101030816,严山松,计算机学院,FL301015,综合英语,3.0,2021-01,2021-01-26,61,0
202503020114,贺平,机械学院,EM312023,电子商务,2.0,2026-02,2026-10-11,52,1
202602010506,杨明霞,电信学院,GE011013,大学生职业规划,1.0,2026-01,2026-03-13,93,1
202001020210,谢平,计算机学院,MA201025,线性代数,3.0,2020-02,2020-07-16,91,0
202208040520,丁建涛,外语学院,GE000011,体育,1.0,2025-01,2024-12-18,76,0
202504020708,温建柏,土木学院,EM312023,电子商务,2.0,2025-02,2025-10-04,-1,1
202402020411,叶娟,电信学院,GE011013,大学生职业规划,1.0,2024-01,2024-03-02,87,1
202305030812,金晓龙,数学学院,CS102026,数据结构与算法,3.5,2024-02,2024-06-13,84,0
202506040313,温春松,物理学院,CS113025,Web开发技术,2.5,2026-02,2026-10-05,68,1
202203020701,苏杰,机械学院,EM301014,微观经济学,2.5,2022-01,2022-02-06,77,0
202507010525,马玲,经管学院,CS113025,Web开发技术,2.5,2025-02,2025-10-11,85,1
202608030402,梁文梅,外语学院,MA212026,数学建模,2.5,2026-02,2026-10-05,47,1
202305030108,韩建国,数学学院,EE102025,电路分析,3.0,2024-02,2024-07-22,74,0
